x,y,Class_ID,B1,B2,B3,Class,Description
410.8267212,-0.893005371,1,218,219,211,Class_1,LS Block
469.2142944,-211.0841064,2,105,99,87,Class_2,Grass
269.9157104,-438.0419922,2,109,107,92,Class_2,Grass
211.1660767,-361.7940063,1,122,119,110,Class_1,LS Block
372.9049072,-317.8469849,1,154,155,139,Class_1,LS Block
188.9276733,-341.093689,1,147,155,142,Class_1,LS Block
473.9672852,-338.0911865,2,95,95,83,Class_2,Grass
287.869873,-249.0549927,1,207,215,200,Class_1,LS Block
256.1588745,-447.1524048,2,114,115,99,Class_2,Grass
171.6976929,-102.9176025,2,105,110,87,Class_2,Grass
152.0900879,-401.7125854,1,145,149,135,Class_1,LS Block
492.8190918,-218.0587158,2,105,103,88,Class_2,Grass
689.4550781,-362.8717041,1,184,182,170,Class_1,LS Block
266.0913086,-269.0270996,1,191,204,187,Class_1,LS Block
185.1290894,-308.1063843,1,98,102,87,Class_1,LS Block
235.223877,-534.3806763,3,53,83,47,Class_3,Vegitation
259.0258789,-532.0501099,3,62,88,61,Class_3,Vegitation
125.0211182,-32.99108887,3,36,62,33,Class_3,Vegitation
254.5942993,-482.4799805,1,156,156,144,Class_1,LS Block
331.171875,-203.8765259,1,177,180,169,Class_1,LS Block
509.0393066,-194.0031128,2,100,102,88,Class_2,Grass
91.27667236,-147.2011108,2,118,116,101,Class_2,Grass
507.7183228,-223.8505859,2,101,105,88,Class_2,Grass
476.1049194,-200.8087158,2,109,105,93,Class_2,Grass
281.0150757,-527.1984863,1,193,217,185,Class_1,LS Block
325.1588745,-233.2006836,1,131,131,119,Class_1,LS Block
286.0488892,-251.1998901,1,208,219,203,Class_1,LS Block
406.3400879,-28.72558594,1,171,179,164,Class_1,LS Block
79.92608643,-151.1931763,2,119,116,101,Class_2,Grass
481.1608887,-202.0921021,2,98,94,83,Class_2,Grass
90.07427979,-145.0369263,2,114,112,97,Class_2,Grass
255.9224854,-525.8920288,3,64,93,62,Class_3,Vegitation
661.6636963,-198.5161133,1,163,159,147,Class_1,LS Block
110.947876,-139.1210938,2,108,111,92,Class_2,Grass
516.758728,-208.071228,2,102,100,85,Class_2,Grass
261.114502,-535.9744263,3,59,85,58,Class_3,Vegitation
465.7713013,-200.0822754,2,99,100,86,Class_2,Grass
342.0675049,-162.9365845,3,58,88,54,Class_3,Vegitation
263.9979248,-536.0046997,3,61,83,60,Class_3,Vegitation
92.96008301,-139.1691895,2,113,118,98,Class_2,Grass
506.2451172,-202.1853027,2,95,97,83,Class_2,Grass
93.97009277,-137.1491089,2,105,113,92,Class_2,Grass
59.89831543,-425.9406128,2,131,124,114,Class_2,Grass
262.9962769,-266.9033813,3,38,58,31,Class_3,Vegitation
502.3494873,-210.4578247,2,101,103,89,Class_2,Grass
224.2213135,-302.0675049,1,175,183,168,Class_1,LS Block
81.89788818,-144.0269165,2,121,115,101,Class_2,Grass
250.9799194,-507.9049072,3,24,49,20,Class_3,Vegitation
282.7139282,-232.3773804,1,242,254,240,Class_1,LS Block
476.0408936,-213.7625122,2,118,112,100,Class_2,Grass
503.0048828,-220.8206177,2,95,97,83,Class_2,Grass
101.8577271,-156.0509033,2,100,110,83,Class_2,Grass
258.5726929,-133.0828857,1,160,167,151,Class_1,LS Block
424.9896851,-11.10308838,1,215,216,210,Class_1,LS Block
257.1685181,-274.9489746,1,132,149,130,Class_1,LS Block
262.9249268,-250.9696045,1,212,227,208,Class_1,LS Block
262.9359131,-439.0361938,2,110,108,93,Class_2,Grass
67.72351074,-427.2092285,2,136,130,118,Class_2,Grass
490.6549072,-224.2631226,2,94,95,79,Class_2,Grass
489.0487061,-199.0620117,2,113,109,98,Class_2,Grass
196.8173218,-444.5739136,3,60,78,56,Class_3,Vegitation
485.8262939,-210.1721802,2,95,93,78,Class_2,Grass
523.1746826,-203.3737793,2,99,101,87,Class_2,Grass
521.0153198,-210.1994019,2,103,101,86,Class_2,Grass
317.8743286,-230.3947754,1,141,141,129,Class_1,LS Block
494.1889038,-339.6209106,2,90,97,81,Class_2,Grass
464.0759277,-196.1864014,2,113,115,101,Class_2,Grass
353.611084,-131.9970093,1,190,192,181,Class_1,LS Block
286.6558838,-251.0784912,1,227,238,222,Class_1,LS Block
339.072876,-158.8897095,3,52,90,41,Class_3,Vegitation
253.9581299,-350.980896,2,91,92,76,Class_2,Grass
184.2373047,-113.9656982,2,100,112,88,Class_2,Grass
